,id,latitude,longitude,price,area,floor,floors_total,link,address_clean
275,323555797,55.72233,37.63491,390000,158.0,1,1,https://www.cian.ru/rent/commercial/323555797/,"Москва, ЦАО, р-н Замоскворечье, м. Павелецкая, Дубининская улица, 68С4"
276,323234867,55.749491,37.59083,273000,36.4,1,4,https://www.cian.ru/rent/commercial/323234867/,"Москва, ЦАО, р-н Арбат, м. Смоленская, улица Арбат, 28/1С1"
277,318376066,55.631036,37.456666,295205,110.61,1,23,https://www.cian.ru/rent/commercial/318376066/,"Москва, НАО (Новомосковский), м. Румянцево, Тропарево Парк мк, к2.2"
278,322415123,55.872698,37.484334,35000,14.0,1,20,https://www.cian.ru/rent/commercial/322415123/,"Москва, САО, р-н Ховрино, м. Ховрино, улица Дыбенко, 22К1"
279,323551510,55.783033,37.633338,4000,10.0,1,1,https://www.cian.ru/rent/commercial/323551510/,"Москва, ЦАО, р-н Мещанский, м. Проспект Мира, проспект Мира, 47С2"
280,321028825,55.790615,37.687578,20000,33.5,1,4,https://www.cian.ru/rent/commercial/321028825/,"Москва, ВАО, р-н Сокольники, м. Сокольники, Бабаевская улица, 4С1"
281,320564440,55.764136,37.602346,1200000,69.5,1,4,https://www.cian.ru/rent/commercial/320564440/,"Москва, ЦАО, р-н Тверской, м. Тверская, Сытинский переулок, 4"
282,288908713,55.787963,37.593506,220000,75.0,1,4,https://www.cian.ru/rent/commercial/288908713/,"Москва, ЦАО, р-н Тверской, м. Савёловская, Новослободская улица, 54С1"
283,322831679,55.743928,37.874464,100,20.0,1,1,https://www.cian.ru/rent/commercial/322831679/,"Москва, ВАО, р-н Новокосино, м. Новокосино, Новокосинская улица, 47"
284,321543654,55.737948,37.482547,320000,84.2,1,14,https://www.cian.ru/rent/commercial/321543654/,"Москва, ЗАО, р-н Фили-Давыдково, м. Филёвский парк, улица Олеко Дундича, 31к1"
285,322614467,55.855305,37.621229,250000,90.0,1,25,https://www.cian.ru/rent/commercial/322614467/,"Москва, СВАО, р-н Останкинский, м. Отрадное, Олонецкая улица, 6"
286,322788623,55.680763,37.533499,2050000,750.0,1,2,https://www.cian.ru/rent/commercial/322788623/,"Москва, ЮЗАО, р-н Ломоносовский, м. Вавиловская, Ленинский проспект, 82/2"
287,322731108,55.739164,37.76831,30000,15.0,1,1,https://www.cian.ru/rent/commercial/322731108/,"Москва, ВАО, р-н Перово, м. Перово, улица Плеханова, 30"
288,306792120,55.724991,37.799625,110000,57.2,1,1,https://www.cian.ru/rent/commercial/306792120/,"Москва, ВАО, р-н Вешняки, м. Вешняки, аллея Первой Маевки, 15с6"
289,316360342,55.730887,37.632125,7000,75.0,1,9,https://www.cian.ru/rent/commercial/316360342/,"Москва, ЦАО, р-н Замоскворечье, м. Павелецкая, Валовая улица, 8/18"
290,321743587,55.551843,37.503953,100000,114.0,1,16,https://www.cian.ru/rent/commercial/321743587/,"Москва, НАО (Новомосковский), м. Потапово, пос. Коммунарка, улица Потаповская Роща, 20к1"
291,321684275,55.796015,37.787767,295000,159.0,1,5,https://www.cian.ru/rent/commercial/321684275/,"Москва, ВАО, р-н Измайлово, м. Первомайская, 5-я Парковая улица, 31"
292,302509424,55.734456,37.412415,70000,20.0,1,17,https://www.cian.ru/rent/commercial/302509424/,"Москва, ЗАО, р-н Кунцево, м. Молодёжная, Партизанская улица, 22"
293,323538127,55.96803,37.18798,90000,79.0,1,17,https://www.cian.ru/rent/commercial/323538127/,"Москва, ЗелАО, р-н Крюково, м. Зеленоград — Крюково, Зеленоград, мкр. 23-й, к2305А"
294,323549329,55.744374,37.407519,250000,49.8,1,14,https://www.cian.ru/rent/commercial/323549329/,"Москва, ЗАО, р-н Кунцево, м. Молодёжная, улица Академика Павлова, 38к1"
295,323542603,55.77154,37.679826,250000,18.0,1,3,https://www.cian.ru/rent/commercial/323542603/,"Москва, ЦАО, р-н Басманный, м. Бауманская, улица Фридриха Энгельса, 3-5С1"
296,323266002,55.7989,37.711617,420000,87.0,1,17,https://www.cian.ru/rent/commercial/323266002/,"Москва, ВАО, р-н Преображенское, м. Преображенская площадь, улица 1-я Бухвостова, 2к3"
297,320329683,55.762216,37.63385,3600000,500.0,1,3,https://www.cian.ru/rent/commercial/320329683/,"Москва, ЦАО, р-н Красносельский, м. Тургеневская, Мясницкая улица, 13С2"
298,323234867,55.749491,37.59083,273000,36.4,1,4,https://www.cian.ru/rent/commercial/323234867/,"Москва, ЦАО, р-н Арбат, м. Смоленская, улица Арбат, 28/1С1"
299,313506781,55.571805,37.492895,170000,116.2,1,13,https://www.cian.ru/rent/commercial/313506781/,"Москва, НАО (Новомосковский), м. Коммунарка, пос. Коммунарка, улица Липовый Парк, 2"
300,320909840,55.750535,37.536526,3200000,210.0,1,14,https://www.cian.ru/rent/commercial/320909840/,"Москва, ЦАО, р-н Пресненский, м. Деловой центр, 1-й Красногвардейский проезд, 19"
301,323110092,55.768112,37.831856,3000,123.0,1,2,https://www.cian.ru/rent/commercial/323110092/,"Москва, ВАО, р-н Ивановское, м. Новогиреево, Саянская улица, 7А"
302,323096412,55.762535,37.649166,220000,71.0,1,5,https://www.cian.ru/rent/commercial/323096412/,"Москва, ЦАО, р-н Басманный, м. Чистые пруды, улица Машкова, 2/13С1"
303,295809519,55.607087,37.47412,2000,160.5,1,17,https://www.cian.ru/rent/commercial/295809519/,"Москва, НАО (Новомосковский), м. Корниловская, шоссе Новомихайловское, 1к5"
304,322615271,55.766567,37.487029,3000,132.9,1,18,https://www.cian.ru/rent/commercial/322615271/,"Москва, ЗАО, р-н Филевский парк, м. Мнёвники, Филевский бульвар, 24к2"
305,321649153,55.806864,37.752931,260000,73.0,1,24,https://www.cian.ru/rent/commercial/321649153/,"Москва, ВАО, р-н Гольяново, м. Локомотив, Амурская улица, 1/2/2"
306,305112482,55.743461,37.418425,250000,46.0,1,22,https://www.cian.ru/rent/commercial/305112482/,"Москва, ЗАО, р-н Кунцево, м. Молодёжная, Ярцевская улица, 31"
307,323312131,55.704002,37.571848,700000,94.0,1,8,https://www.cian.ru/rent/commercial/323312131/,"Москва, ЮЗАО, р-н Гагаринский, м. Ленинский проспект, Ленинский проспект, 38"
308,323388450,55.743522,37.799212,45000,22.0,1,17,https://www.cian.ru/rent/commercial/323388450/,"Москва, ВАО, р-н Новогиреево, м. Кусково, Перовская улица, 66к3"
